nodo_id,artista,grado_total,grado_entrada,grado_salida,intermediacion,cercania,pagerank,followers,hub_score,authority_score,comunidad
6cA3ifwf6ueJ87ecdDPMOF,JOJO AIR,1,1,0,0.0,0.0,0.0038731156220843535,17550.0,-0.0,0.0003934153114274294,24
5adKMaYrGOMyOfnbiLPuHg,Jonna Fraser,1,1,0,0.0,0.0,0.0038731156220843535,270782.0,-0.0,0.0003934153114274294,24
7CW7QdOgRStOg7JktRuZ3E,Imen Es,1,1,0,0.0,0.0,0.0036317704846900384,1413090.0,-0.0,0.00031587685044604517,24
4d3kmfoZBTuUPSUjgP45uo,Lérica,1,1,0,0.0,0.0,0.003760324756257695,102672.0,-0.0,0.00021200572406235513,32
2tcoLkA9Hexz70Kuc1NTUl,Gradur,1,1,0,0.0,0.0,0.0038260785731127744,1919257.0,-0.0,0.00036903348859057534,24
34PYzJSu4DHKEyhdBfsn0E,TORRRES,1,1,0,0.0,0.0,0.0036510741393414713,30444.0,-0.0,0.00027623084218584773,8
17SY5q1CMOZJBRuPcKWwPI,J Abdiel,1,1,0,0.0,0.0,0.0036510741393414713,241015.0,-0.0,0.00027623084218584773,8
2f6TzIGIIxEuwp6o7kEbhy,Pablo Mas,1,1,0,0.0,0.0,0.003789840235835588,8365.0,-0.0,0.0005876882112830289,24
5dDL6ReckbbD5JBnZdobv6,Youka,1,1,0,0.0,0.0,0.003789840235835588,47468.0,-0.0,0.0005876882112830289,24
47ssTqJe23pPbwPpQ4sYHB,Wesh Music,1,1,0,0.0,0.0,0.003789840235835588,272.0,-0.0,0.0005876882112830289,24
3lY9Fxceu60W1rbon7PkuF,Omar Montes,1,1,0,0.0,0.0,0.0036510741393414713,885432.0,-0.0,0.0003443819124731239,8
0yfhOzsYbBALSbWK4DjpCh,Pedro Calderon,1,1,0,0.0,0.0,0.0036510741393414713,58206.0,-0.0,0.0003443819124731239,8
2uVpysjtU2tanrR1N9YVjE,Blacknife,1,1,0,0.0,0.0,0.0036510741393414713,5343.0,-0.0,0.0003443819124731239,8
44cW3xznP61BXbu0e7fgxn,Slayter,1,1,0,0.0,0.0,0.0036510741393414713,75948.0,-0.0,0.0003443819124731239,8
2PAyYzUdafG4mFFp6Rynsk,Raul Clyde,1,1,0,0.0,0.0,0.003760324756257695,56673.0,-0.0,0.00021200572406235513,32
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto,1,1,0,0.0,0.0,0.0036510741393414713,7536735.0,-0.0,0.0003443819124731239,8
0niAkxgT6y57bRbT0Ge94z,LiL CaKe,1,1,0,0.0,0.0,0.003760324756257695,182890.0,-0.0,0.00021200572406235513,32
50sIhX3HytFEwQXZJLUZQE,Alejo,1,1,0,0.0,0.0,0.003760324756257695,212868.0,-0.0,0.00021200572406235513,32
